businessentityid,nationalidnumber,jobtitle,hiredate,vacationhours,sickleavehours,min_vacation_hours
245,363910111,Accountant,2009-02-18,58,49,58
248,480951955,Accountant,2009-03-08,59,49,58
241,30845,Accounts Manager,2009-01-30,57,48,57
246,663843431,Accounts Payable Specialist,2009-02-11,63,51,63
247,519756660,Accounts Payable Specialist,2009-03-01,64,52,63
242,363923697,Accounts Receivable Specialist,2008-12-18,60,50,60
243,60517918,Accounts Receivable Specialist,2009-01-06,61,50,60
244,931190412,Accounts Receivable Specialist,2009-01-24,62,51,60
272,525932996,Application Specialist,2008-12-23,71,55,71
269,671089628,Application Specialist,2009-01-11,72,56,71
268,314747499,Application Specialist,2009-02-03,73,56,71
267,58317344,Application Specialist,2009-02-16,74,57,71
262,231203233,Assistant to the Chief Financial Officer,2009-01-12,56,48,56
239,619308550,Benefits Specialist,2008-12-25,51,45,51
255,466142721,Buyer,2010-01-11,52,46,52
258,785853949,Buyer,2010-01-31,53,46,52
257,381073001,Buyer,2010-01-27,54,47,52
259,20269531,Buyer,2010-03-09,55,47,52
253,407505660,Buyer,2009-12-17,56,48,52
254,482810518,Buyer,2010-01-04,57,48,52
256,367453993,Buyer,2010-01-23,58,49,52
251,603686790,Buyer,2009-02-10,59,49,52
252,792847334,Buyer,2009-02-28,60,50,52
1,295847284,Chief Executive Officer,2009-01-14,99,69,99
234,184188301,Chief Financial Officer,2009-01-31,0,20,0
221,260805477,Control Specialist,2009-03-06,75,57,75
218,540688287,Control Specialist,2008-12-16,76,58,75
271,929666391,Database Administrator,2009-01-22,66,53,66
270,643805155,Database Administrator,2009-01-17,67,53,66
15,56920285,Design Engineer,2011-01-18,4,22,4
5,695256908,Design Engineer,2008-01-06,5,22,4
6,998320692,Design Engineer,2008-01-24,6,23,4
219,242381745,Document Control Assistant,2009-01-22,78,59,78
220,260770918,Document Control Assistant,2009-02-09,79,59,78
217,345106466,Document Control Manager,2009-01-04,77,58,77
3,509647174,Engineering Manager,2007-11-11,2,21,2
287,982310417,European Sales Manager,2012-04-16,21,30,21
233,552560652,Facilities Administrative Assistant,2009-12-21,87,63,87
227,141165819,Facilities Manager,2009-12-02,86,63,86
