businessentityid,firstname,lastname,salesytd,newdate
276,Linda,Mitchell,4251368.5497,2026-04-27
289,Jae,Pak,4116871.2277,2026-04-27
275,Michael,Blythe,3763178.1787,2026-04-27
277,Jillian,Carson,3189418.3662,2026-04-27
290,Ranjit,Varkey Chudukatil,3121616.3202,2026-04-27
282,José,Saraiva,2604540.7172,2026-04-27
281,Shu,Ito,2458535.6169,2026-04-27
279,Tsvi,Reiter,2315185.6110,2026-04-27
288,Rachel,Valdez,1827066.7118,2026-04-27
284,Tete,Mensa-Annan,1576562.1966,2026-04-27
283,David,Campbell,1573012.9383,2026-04-27
278,Garrett,Vargas,1453719.4653,2026-04-27
286,Lynn,Tsoflias,1421810.9242,2026-04-27
280,Pamela,Ansman-Wolfe,1352577.1325,2026-04-27
274,Stephen,Jiang,559697.5639,2026-04-27
287,Amy,Alberts,519905.9320,2026-04-27
285,Syed,Abbas,172524.4512,2026-04-27
