businessentityid,lastname,department,rate,ratechangedate,hiredate,lasthiredate_per_dept_rate
217,Arifin,Document Control,17.7885,2009-01-04,2009-01-04,2009-01-04
218,Kharatishvili,Document Control,16.8269,2008-12-16,2008-12-16,2009-03-06
219,Chai,Document Control,10.2500,2009-01-22,2009-01-22,2009-02-09
220,Berge,Document Control,10.2500,2009-02-09,2009-02-09,2009-02-09
221,Norred,Document Control,16.8269,2009-03-06,2009-03-06,2009-03-06
263,Trenary,Information Services,50.4808,2008-12-11,2008-12-11,2008-12-11
264,Conroy,Information Services,39.6635,2009-02-04,2009-02-04,2009-02-04
265,Sharma,Information Services,32.4519,2008-12-04,2008-12-04,2009-02-23
266,Connelly,Information Services,32.4519,2009-02-23,2009-02-23,2009-02-23
267,Berg,Information Services,27.4038,2009-02-16,2009-02-16,2009-02-16
268,Meyyappan,Information Services,27.4038,2009-02-03,2009-02-03,2009-02-16
269,Bacon,Information Services,27.4038,2009-01-11,2009-01-11,2009-02-16
270,Ajenstat,Information Services,38.4615,2009-01-17,2009-01-17,2009-01-22
271,Wilson,Information Services,38.4615,2009-01-22,2009-01-22,2009-01-22
272,Bueno,Information Services,27.4038,2008-12-23,2008-12-23,2009-02-16
