businessentityid,nationalidnumber,loginid,jobtitle,vacationhours,employeewithfewestvacationintitle
245,363910111,adventure-works\barbara1,Accountant,58,245
248,480951955,adventure-works\mike0,Accountant,59,245
241,30845,adventure-works\david6,Accounts Manager,57,241
246,663843431,adventure-works\dragan0,Accounts Payable Specialist,63,246
247,519756660,adventure-works\janet0,Accounts Payable Specialist,64,246
242,363923697,adventure-works\deborah0,Accounts Receivable Specialist,60,242
243,60517918,adventure-works\candy0,Accounts Receivable Specialist,61,242
244,931190412,adventure-works\bryan1,Accounts Receivable Specialist,62,242
272,525932996,adventure-works\janaina0,Application Specialist,71,272
269,671089628,adventure-works\dan0,Application Specialist,72,272
268,314747499,adventure-works\ramesh0,Application Specialist,73,272
267,58317344,adventure-works\karen1,Application Specialist,74,272
262,231203233,adventure-works\david5,Assistant to the Chief Financial Officer,56,262
239,619308550,adventure-works\mindy0,Benefits Specialist,51,239
255,466142721,adventure-works\gordon0,Buyer,52,255
258,785853949,adventure-works\erin0,Buyer,53,255
257,381073001,adventure-works\eric2,Buyer,54,255
259,20269531,adventure-works\ben0,Buyer,55,255
253,407505660,adventure-works\linda2,Buyer,56,255
254,482810518,adventure-works\fukiko0,Buyer,57,255
256,367453993,adventure-works\frank2,Buyer,58,255
251,603686790,adventure-works\mikael0,Buyer,59,255
252,792847334,adventure-works\arvind0,Buyer,60,255
1,295847284,adventure-works\ken0,Chief Executive Officer,99,1
234,184188301,adventure-works\laura1,Chief Financial Officer,0,234
221,260805477,adventure-works\chris1,Control Specialist,75,221
218,540688287,adventure-works\tengiz0,Control Specialist,76,221
271,929666391,adventure-works\dan1,Database Administrator,66,271
270,643805155,adventure-works\françois0,Database Administrator,67,271
15,56920285,adventure-works\sharon0,Design Engineer,4,15
5,695256908,adventure-works\gail0,Design Engineer,5,15
6,998320692,adventure-works\jossef0,Design Engineer,6,15
219,242381745,adventure-works\sean1,Document Control Assistant,78,219
220,260770918,adventure-works\karen0,Document Control Assistant,79,219
217,345106466,adventure-works\zainal0,Document Control Manager,77,217
3,509647174,adventure-works\roberto0,Engineering Manager,2,3
287,982310417,adventure-works\amy0,European Sales Manager,21,287
233,552560652,adventure-works\magnus0,Facilities Administrative Assistant,87,233
227,141165819,adventure-works\gary1,Facilities Manager,86,227
249,121491555,adventure-works\wendy0,Finance Manager,55,249
237,416679555,adventure-works\hao0,Human Resources Administrative Assistant,52,237
236,476980013,adventure-works\grant0,Human Resources Administrative Assistant,53,237
235,535145551,adventure-works\paula0,Human Resources Manager,54,235
263,441044382,adventure-works\jean0,Information Services Manager,65,263
230,28414965,adventure-works\stuart1,Janitor,88,230
232,646304055,adventure-works\pat0,Janitor,89,230
229,879334904,adventure-works\lori1,Janitor,90,230
231,153479919,adventure-works\jo1,Janitor,91,230
228,553069203,adventure-works\christian0,Maintenance Supervisor,92,228
20,323403273,adventure-works\wanida0,Marketing Assistant,41,20
17,253022876,adventure-works\kevin0,Marketing Assistant,42,20
19,52541318,adventure-works\mary2,Marketing Assistant,43,20
16,24756624,adventure-works\david0,Marketing Manager,40,16
21,243322160,adventure-works\terry0,Marketing Specialist,44,21
22,95958330,adventure-works\sariya0,Marketing Specialist,45,21
23,767955365,adventure-works\mary0,Marketing Specialist,46,21
24,72636981,adventure-works\jill0,Marketing Specialist,47,21
18,222969461,adventure-works\john5,Marketing Specialist,48,21
222,685233686,adventure-works\ascott0,Master Scheduler,44,222
266,672243793,adventure-works\peter1,Network Administrator,69,266
265,749389530,adventure-works\ashvini0,Network Administrator,70,266
264,858323870,adventure-works\stephanie0,Network Manager,68,264
274,502097814,adventure-works\stephen0,North American Sales Manager,14,274
