department,businessentityid,lastname,rate,ratechangedate,cumulative_distribution,percent_rank,first_rate
Document Control,217,Arifin,17.7885,2009-01-04,1.0,1.0,10.2500
Document Control,218,Kharatishvili,16.8269,2008-12-16,0.8,0.5,10.2500
Document Control,219,Chai,10.2500,2009-01-22,0.4,0.0,10.2500
Document Control,220,Berge,10.2500,2009-02-09,0.4,0.0,10.2500
Document Control,221,Norred,16.8269,2009-03-06,0.8,0.5,10.2500
Information Services,263,Trenary,50.4808,2008-12-11,1.0,1.0,27.4038
Information Services,264,Conroy,39.6635,2009-02-04,0.9,0.8888888888888888,27.4038
Information Services,265,Sharma,32.4519,2008-12-04,0.6,0.4444444444444444,27.4038
Information Services,266,Connelly,32.4519,2009-02-23,0.6,0.4444444444444444,27.4038
Information Services,267,Berg,27.4038,2009-02-16,0.4,0.0,27.4038
Information Services,268,Meyyappan,27.4038,2009-02-03,0.4,0.0,27.4038
Information Services,269,Bacon,27.4038,2009-01-11,0.4,0.0,27.4038
Information Services,270,Ajenstat,38.4615,2009-01-17,0.8,0.6666666666666666,27.4038
Information Services,271,Wilson,38.4615,2009-01-22,0.8,0.6666666666666666,27.4038
Information Services,272,Bueno,27.4038,2008-12-23,0.4,0.0,27.4038
