businessentityid,firstname,lastname,jobtitle,vacationhours,employee_with_fewest_vacation_hours_in_jobtitle
245,Barbara,Moreland,Accountant,58,245
248,Mike,Seamans,Accountant,59,245
241,David,Liu,Accounts Manager,57,241
246,Dragan,Tomic,Accounts Payable Specialist,63,246
247,Janet,Sheperdigian,Accounts Payable Specialist,64,246
242,Deborah,Poe,Accounts Receivable Specialist,60,242
243,Candy,Spoon,Accounts Receivable Specialist,61,242
244,Bryan,Walton,Accounts Receivable Specialist,62,242
272,Janaina,Bueno,Application Specialist,71,272
269,Dan,Bacon,Application Specialist,72,272
268,Ramesh,Meyyappan,Application Specialist,73,272
267,Karen,Berg,Application Specialist,74,272
262,David,Barber,Assistant to the Chief Financial Officer,56,262
239,Mindy,Martin,Benefits Specialist,51,239
255,Gordon,Hee,Buyer,52,255
258,Erin,Hagens,Buyer,53,255
257,Eric,Kurjan,Buyer,54,255
259,Ben,Miller,Buyer,55,255
253,Linda,Meisner,Buyer,56,255
254,Fukiko,Ogisu,Buyer,57,255
256,Frank,Pellow,Buyer,58,255
251,Mikael,Sandberg,Buyer,59,255
252,Arvind,Rao,Buyer,60,255
1,Ken,Sánchez,Chief Executive Officer,99,1
234,Laura,Norman,Chief Financial Officer,0,234
221,Chris,Norred,Control Specialist,75,221
218,Tengiz,Kharatishvili,Control Specialist,76,221
271,Dan,Wilson,Database Administrator,66,271
270,François,Ajenstat,Database Administrator,67,271
15,Sharon,Salavaria,Design Engineer,4,15
5,Gail,Erickson,Design Engineer,5,15
6,Jossef,Goldberg,Design Engineer,6,15
219,Sean,Chai,Document Control Assistant,78,219
220,Karen,Berge,Document Control Assistant,79,219
217,Zainal,Arifin,Document Control Manager,77,217
3,Roberto,Tamburello,Engineering Manager,2,3
287,Amy,Alberts,European Sales Manager,21,287
233,Magnus,Hedlund,Facilities Administrative Assistant,87,233
227,Gary,Altman,Facilities Manager,86,227
249,Wendy,Kahn,Finance Manager,55,249
237,Hao,Chen,Human Resources Administrative Assistant,52,237
236,Grant,Culbertson,Human Resources Administrative Assistant,53,237
235,Paula,Barreto de Mattos,Human Resources Manager,54,235
263,Jean,Trenary,Information Services Manager,65,263
230,Stuart,Macrae,Janitor,88,230
232,Pat,Coleman,Janitor,89,230
229,Lori,Penor,Janitor,90,230
