businessentityid,firstname,lastname,jobtitle,vacationhours,employee_with_fewest_vacation_hours,min_vacation_hours
245,Barbara,Moreland,Accountant,58,245,58
248,Mike,Seamans,Accountant,59,245,58
241,David,Liu,Accounts Manager,57,241,57
246,Dragan,Tomic,Accounts Payable Specialist,63,246,63
247,Janet,Sheperdigian,Accounts Payable Specialist,64,246,63
242,Deborah,Poe,Accounts Receivable Specialist,60,242,60
243,Candy,Spoon,Accounts Receivable Specialist,61,242,60
244,Bryan,Walton,Accounts Receivable Specialist,62,242,60
272,Janaina,Bueno,Application Specialist,71,272,71
269,Dan,Bacon,Application Specialist,72,272,71
268,Ramesh,Meyyappan,Application Specialist,73,272,71
267,Karen,Berg,Application Specialist,74,272,71
262,David,Barber,Assistant to the Chief Financial Officer,56,262,56
239,Mindy,Martin,Benefits Specialist,51,239,51
255,Gordon,Hee,Buyer,52,255,52
258,Erin,Hagens,Buyer,53,255,52
257,Eric,Kurjan,Buyer,54,255,52
259,Ben,Miller,Buyer,55,255,52
253,Linda,Meisner,Buyer,56,255,52
254,Fukiko,Ogisu,Buyer,57,255,52
256,Frank,Pellow,Buyer,58,255,52
251,Mikael,Sandberg,Buyer,59,255,52
252,Arvind,Rao,Buyer,60,255,52
1,Ken,Sánchez,Chief Executive Officer,99,1,99
234,Laura,Norman,Chief Financial Officer,0,234,0
221,Chris,Norred,Control Specialist,75,221,75
218,Tengiz,Kharatishvili,Control Specialist,76,221,75
271,Dan,Wilson,Database Administrator,66,271,66
270,François,Ajenstat,Database Administrator,67,271,66
15,Sharon,Salavaria,Design Engineer,4,15,4
5,Gail,Erickson,Design Engineer,5,15,4
6,Jossef,Goldberg,Design Engineer,6,15,4
219,Sean,Chai,Document Control Assistant,78,219,78
220,Karen,Berge,Document Control Assistant,79,219,78
217,Zainal,Arifin,Document Control Manager,77,217,77
3,Roberto,Tamburello,Engineering Manager,2,3,2
287,Amy,Alberts,European Sales Manager,21,287,21
233,Magnus,Hedlund,Facilities Administrative Assistant,87,233,87
227,Gary,Altman,Facilities Manager,86,227,86
249,Wendy,Kahn,Finance Manager,55,249,55
237,Hao,Chen,Human Resources Administrative Assistant,52,237,52
236,Grant,Culbertson,Human Resources Administrative Assistant,53,237,52
235,Paula,Barreto de Mattos,Human Resources Manager,54,235,54
263,Jean,Trenary,Information Services Manager,65,263,65
230,Stuart,Macrae,Janitor,88,230,88
232,Pat,Coleman,Janitor,89,230,88
229,Lori,Penor,Janitor,90,230,88
231,Jo,Berry,Janitor,91,230,88
228,Christian,Kleinerman,Maintenance Supervisor,92,228,92
20,Wanida,Benshoof,Marketing Assistant,41,20,41
17,Kevin,Brown,Marketing Assistant,42,20,41
19,Mary,Dempsey,Marketing Assistant,43,20,41
16,David,Bradley,Marketing Manager,40,16,40
21,Terry,Eminhizer,Marketing Specialist,44,21,44
22,Sariya,Harnpadoungsataya,Marketing Specialist,45,21,44
23,Mary,Gibson,Marketing Specialist,46,21,44
24,Jill,Williams,Marketing Specialist,47,21,44
18,John,Wood,Marketing Specialist,48,21,44
222,A. Scott,Wright,Master Scheduler,44,222,44
266,Peter,Connelly,Network Administrator,69,266,69
265,Ashvini,Sharma,Network Administrator,70,266,69
264,Stephanie,Conroy,Network Manager,68,264,68
274,Stephen,Jiang,North American Sales Manager,14,274,14
285,Syed,Abbas,Pacific Sales Manager,20,285,20
26,Peter,Krebs,Production Control Manager,43,26,43
47,Andrew,Hill,Production Supervisor - WC10,65,47,65
102,Zheng,Mu,Production Supervisor - WC10,66,47,65
87,Cristian,Petculescu,Production Supervisor - WC10,67,47,65
134,Eric,Gubbels,Production Supervisor - WC20,40,134,40
152,Yuhong,Li,Production Supervisor - WC20,41,134,40
180,Katie,McAskill-White,Production Supervisor - WC20,42,134,40
166,Jack,Richins,Production Supervisor - WC30,68,166,68
145,Cynthia,Randall,Production Supervisor - WC30,69,166,68
71,Michael,Ray,Production Supervisor - WC30,70,166,68
192,Brenda,Diaz,Production Supervisor - WC40,71,192,71
78,Reuben,D'sa,Production Supervisor - WC40,72,192,71
127,David,Hamilton,Production Supervisor - WC40,73,192,71
160,Jeff,Hay,Production Supervisor - WC45,74,160,74
186,Shane,Kim,Production Supervisor - WC45,75,160,74
205,Lori,Kane,Production Supervisor - WC45,76,160,74
108,Jinghao,Liu,Production Supervisor - WC50,77,108,77
93,Kok-Ho,Loh,Production Supervisor - WC50,78,108,77
55,Taylor,Maxwell,Production Supervisor - WC50,79,108,77
27,Jo,Brown,Production Supervisor - WC60,80,27,80
62,John,Campbell,Production Supervisor - WC60,81,27,80
40,JoLynn,Dobney,Production Supervisor - WC60,82,27,80
48,Ruth,Ellerbrock,Production Technician - WC10,83,48,83
50,Sidney,Higa,Production Technician - WC10,84,48,83
51,Jeffrey,Ford,Production Technician - WC10,85,48,83
52,Doris,Hartwig,Production Technician - WC10,86,48,83
