department,lastname,rate,cume_dist,percent_rank
Document Control,Arifin,17.7885,0.2,0.0
Document Control,Norred,16.8269,0.6,0.25
Document Control,Kharatishvili,16.8269,0.6,0.25
Document Control,Chai,10.2500,1.0,0.75
Document Control,Berge,10.2500,1.0,0.75
Information Services,Trenary,50.4808,0.1,0.0
Information Services,Conroy,39.6635,0.2,0.1111111111111111
Information Services,Ajenstat,38.4615,0.4,0.2222222222222222
Information Services,Wilson,38.4615,0.4,0.2222222222222222
Information Services,Sharma,32.4519,0.6,0.4444444444444444
Information Services,Connelly,32.4519,0.6,0.4444444444444444
Information Services,Berg,27.4038,1.0,0.6666666666666666
Information Services,Bacon,27.4038,1.0,0.6666666666666666
Information Services,Meyyappan,27.4038,1.0,0.6666666666666666
Information Services,Bueno,27.4038,1.0,0.6666666666666666
