businessentityid,firstname,lastname,newdate,salesytd
274,Stephen,Jiang,2026-04-28,559697.5639
275,Michael,Blythe,2026-04-28,3763178.1787
276,Linda,Mitchell,2026-04-28,4251368.5497
277,Jillian,Carson,2026-04-28,3189418.3662
278,Garrett,Vargas,2026-04-28,1453719.4653
279,Tsvi,Reiter,2026-04-28,2315185.6110
280,Pamela,Ansman-Wolfe,2026-04-28,1352577.1325
281,Shu,Ito,2026-04-28,2458535.6169
282,José,Saraiva,2026-04-28,2604540.7172
283,David,Campbell,2026-04-28,1573012.9383
284,Tete,Mensa-Annan,2026-04-28,1576562.1966
285,Syed,Abbas,2026-04-28,172524.4512
286,Lynn,Tsoflias,2026-04-28,1421810.9242
287,Amy,Alberts,2026-04-28,519905.9320
288,Rachel,Valdez,2026-04-28,1827066.7118
289,Jae,Pak,2026-04-28,4116871.2277
290,Ranjit,Varkey Chudukatil,2026-04-28,3121616.3202
