department,lastname,hiredate,rate
Document Control,Chai,2009-01-22,10.2500
Document Control,Berge,2009-02-09,10.2500
Document Control,Kharatishvili,2008-12-16,16.8269
Document Control,Norred,2009-03-06,16.8269
Document Control,Arifin,2009-01-04,17.7885
Information Services,Bueno,2008-12-23,27.4038
Information Services,Berg,2009-02-16,27.4038
Information Services,Meyyappan,2009-02-03,27.4038
Information Services,Bacon,2009-01-11,27.4038
Information Services,Sharma,2008-12-04,32.4519
Information Services,Connelly,2009-02-23,32.4519
Information Services,Ajenstat,2009-01-17,38.4615
Information Services,Wilson,2009-01-22,38.4615
Information Services,Conroy,2009-02-04,39.6635
Information Services,Trenary,2008-12-11,50.4808
