businessentityid,jobtitle,vacationhours,firstname,lastname
245,Accountant,58,Barbara,Moreland
248,Accountant,59,Mike,Seamans
241,Accounts Manager,57,David,Liu
246,Accounts Payable Specialist,63,Dragan,Tomic
247,Accounts Payable Specialist,64,Janet,Sheperdigian
242,Accounts Receivable Specialist,60,Deborah,Poe
243,Accounts Receivable Specialist,61,Candy,Spoon
244,Accounts Receivable Specialist,62,Bryan,Walton
272,Application Specialist,71,Janaina,Bueno
269,Application Specialist,72,Dan,Bacon
268,Application Specialist,73,Ramesh,Meyyappan
267,Application Specialist,74,Karen,Berg
262,Assistant to the Chief Financial Officer,56,David,Barber
239,Benefits Specialist,51,Mindy,Martin
255,Buyer,52,Gordon,Hee
258,Buyer,53,Erin,Hagens
257,Buyer,54,Eric,Kurjan
259,Buyer,55,Ben,Miller
253,Buyer,56,Linda,Meisner
254,Buyer,57,Fukiko,Ogisu
256,Buyer,58,Frank,Pellow
251,Buyer,59,Mikael,Sandberg
252,Buyer,60,Arvind,Rao
1,Chief Executive Officer,99,Ken,Sánchez
234,Chief Financial Officer,0,Laura,Norman
221,Control Specialist,75,Chris,Norred
218,Control Specialist,76,Tengiz,Kharatishvili
271,Database Administrator,66,Dan,Wilson
270,Database Administrator,67,François,Ajenstat
15,Design Engineer,4,Sharon,Salavaria
5,Design Engineer,5,Gail,Erickson
6,Design Engineer,6,Jossef,Goldberg
219,Document Control Assistant,78,Sean,Chai
220,Document Control Assistant,79,Karen,Berge
217,Document Control Manager,77,Zainal,Arifin
3,Engineering Manager,2,Roberto,Tamburello
287,European Sales Manager,21,Amy,Alberts
233,Facilities Administrative Assistant,87,Magnus,Hedlund
227,Facilities Manager,86,Gary,Altman
249,Finance Manager,55,Wendy,Kahn
237,Human Resources Administrative Assistant,52,Hao,Chen
236,Human Resources Administrative Assistant,53,Grant,Culbertson
235,Human Resources Manager,54,Paula,Barreto de Mattos
263,Information Services Manager,65,Jean,Trenary
230,Janitor,88,Stuart,Macrae
232,Janitor,89,Pat,Coleman
229,Janitor,90,Lori,Penor
231,Janitor,91,Jo,Berry
228,Maintenance Supervisor,92,Christian,Kleinerman
20,Marketing Assistant,41,Wanida,Benshoof
17,Marketing Assistant,42,Kevin,Brown
19,Marketing Assistant,43,Mary,Dempsey
16,Marketing Manager,40,David,Bradley
21,Marketing Specialist,44,Terry,Eminhizer
22,Marketing Specialist,45,Sariya,Harnpadoungsataya
23,Marketing Specialist,46,Mary,Gibson
24,Marketing Specialist,47,Jill,Williams
18,Marketing Specialist,48,John,Wood
222,Master Scheduler,44,A. Scott,Wright
266,Network Administrator,69,Peter,Connelly
265,Network Administrator,70,Ashvini,Sharma
264,Network Manager,68,Stephanie,Conroy
274,North American Sales Manager,14,Stephen,Jiang
285,Pacific Sales Manager,20,Syed,Abbas
26,Production Control Manager,43,Peter,Krebs
47,Production Supervisor - WC10,65,Andrew,Hill
102,Production Supervisor - WC10,66,Zheng,Mu
87,Production Supervisor - WC10,67,Cristian,Petculescu
134,Production Supervisor - WC20,40,Eric,Gubbels
152,Production Supervisor - WC20,41,Yuhong,Li
180,Production Supervisor - WC20,42,Katie,McAskill-White
166,Production Supervisor - WC30,68,Jack,Richins
145,Production Supervisor - WC30,69,Cynthia,Randall
71,Production Supervisor - WC30,70,Michael,Ray
192,Production Supervisor - WC40,71,Brenda,Diaz
78,Production Supervisor - WC40,72,Reuben,D'sa
127,Production Supervisor - WC40,73,David,Hamilton
160,Production Supervisor - WC45,74,Jeff,Hay
186,Production Supervisor - WC45,75,Shane,Kim
205,Production Supervisor - WC45,76,Lori,Kane
108,Production Supervisor - WC50,77,Jinghao,Liu
93,Production Supervisor - WC50,78,Kok-Ho,Loh
