businessentityid,department_name,lastname
217,Document Control,zainal0
218,Document Control,tengiz0
219,Document Control,sean1
220,Document Control,karen0
221,Document Control,chris1
263,Information Services,jean0
264,Information Services,stephanie0
265,Information Services,ashvini0
266,Information Services,peter1
267,Information Services,karen1
268,Information Services,ramesh0
269,Information Services,dan0
270,Information Services,françois0
271,Information Services,dan1
272,Information Services,janaina0
