first_name,last_name,quartile,year_to_date_sales,postal_code
Michael,Blythe,1,3763178.1787,48226
Jillian,Carson,1,3189418.3662,55802
Linda,Mitchell,1,4251368.5497,84407
Jae,Pak,1,4116871.2277,BA5 3HX
Ranjit,Varkey Chudukatil,1,3121616.3202,33000
Shu,Ito,2,2458535.6169,94109
Tsvi,Reiter,2,2315185.6110,38103
José,Saraiva,2,2604540.7172,K4B 1T7
Rachel,Valdez,2,1827066.7118,14111
David,Campbell,3,1573012.9383,98004
Tete,Mensa-Annan,3,1576562.1966,02139
Lynn,Tsoflias,3,1421810.9242,3000
Garrett,Vargas,3,1453719.4653,T2P 2G8
Syed,Abbas,4,172524.4512,98011
Amy,Alberts,4,519905.9320,98055
Pamela,Ansman-Wolfe,4,1352577.1325,97205
Stephen,Jiang,4,559697.5639,98052
