firstname,lastname,quartile,salesytd,postalcode
Linda,Mitchell,4,4251368.5497,84407
Jae,Pak,4,4116871.2277,BA5 3HX
Michael,Blythe,4,3763178.1787,48226
Jillian,Carson,4,3189418.3662,55802
Ranjit,Varkey Chudukatil,3,3121616.3202,33000
José,Saraiva,3,2604540.7172,K4B 1T7
Shu,Ito,3,2458535.6169,94109
Tsvi,Reiter,3,2315185.6110,38103
Rachel,Valdez,2,1827066.7118,14111
Tete,Mensa-Annan,2,1576562.1966,02139
David,Campbell,2,1573012.9383,98004
Garrett,Vargas,2,1453719.4653,T2P 2G8
Lynn,Tsoflias,1,1421810.9242,3000
Pamela,Ansman-Wolfe,1,1352577.1325,97205
Stephen,Jiang,1,559697.5639,98052
Amy,Alberts,1,519905.9320,98055
Syed,Abbas,1,172524.4512,98011
