firstname,lastname,salesytd,postalcode,quartile
Syed,Abbas,172524.4512,98011,1
Amy,Alberts,519905.9320,98055,1
Stephen,Jiang,559697.5639,98052,1
Pamela,Ansman-Wolfe,1352577.1325,97205,1
Lynn,Tsoflias,1421810.9242,3000,1
Garrett,Vargas,1453719.4653,T2P 2G8,2
David,Campbell,1573012.9383,98004,2
Tete,Mensa-Annan,1576562.1966,02139,2
Rachel,Valdez,1827066.7118,14111,2
Tsvi,Reiter,2315185.6110,38103,3
Shu,Ito,2458535.6169,94109,3
José,Saraiva,2604540.7172,K4B 1T7,3
Ranjit,Varkey Chudukatil,3121616.3202,33000,3
Jillian,Carson,3189418.3662,55802,4
Michael,Blythe,3763178.1787,48226,4
Jae,Pak,4116871.2277,BA5 3HX,4
Linda,Mitchell,4251368.5497,84407,4
