businessentityid,firstname,lastname,jobtitle,vacationhours,sickleavehours
245,Barbara,Moreland,Accountant,58,49
248,Mike,Seamans,Accountant,59,49
241,David,Liu,Accounts Manager,57,48
246,Dragan,Tomic,Accounts Payable Specialist,63,51
247,Janet,Sheperdigian,Accounts Payable Specialist,64,52
242,Deborah,Poe,Accounts Receivable Specialist,60,50
243,Candy,Spoon,Accounts Receivable Specialist,61,50
244,Bryan,Walton,Accounts Receivable Specialist,62,51
272,Janaina,Bueno,Application Specialist,71,55
269,Dan,Bacon,Application Specialist,72,56
268,Ramesh,Meyyappan,Application Specialist,73,56
267,Karen,Berg,Application Specialist,74,57
262,David,Barber,Assistant to the Chief Financial Officer,56,48
239,Mindy,Martin,Benefits Specialist,51,45
255,Gordon,Hee,Buyer,52,46
258,Erin,Hagens,Buyer,53,46
257,Eric,Kurjan,Buyer,54,47
259,Ben,Miller,Buyer,55,47
253,Linda,Meisner,Buyer,56,48
254,Fukiko,Ogisu,Buyer,57,48
