id,businessentityid,nationalidnumber,loginid,jobtitle,birthdate,maritalstatus,gender,hiredate,salariedflag,vacationhours,sickleavehours,currentflag,rowguid,modifieddate,organizationnode
1,1,295847284,adventure-works\ken0,Chief Executive Officer,1969-01-29,S,M,2009-01-14,True,99,69,True,f01251e5-96a3-448d-981e-0f99d789110d,2014-06-30,/
2,2,245797967,adventure-works\terri0,Vice President of Engineering,1971-08-01,S,F,2008-01-31,True,1,20,True,45e8f437-670d-4409-93cb-f9424a40d6ee,2014-06-30,/1/
3,3,509647174,adventure-works\roberto0,Engineering Manager,1974-11-12,M,M,2007-11-11,True,2,21,True,9bbbfb2c-efbb-4217-9ab7-f97689328841,2014-06-30,/1/1/
4,4,112457891,adventure-works\rob0,Senior Tool Designer,1974-12-23,S,M,2007-12-05,False,48,80,True,59747955-87b8-443f-8ed4-f8ad3afdf3a9,2014-06-30,/1/1/1/
5,5,695256908,adventure-works\gail0,Design Engineer,1952-09-27,M,F,2008-01-06,True,5,22,True,ec84ae09-f9b8-4a15-b4a9-6ccbab919b08,2014-06-30,/1/1/2/
6,6,998320692,adventure-works\jossef0,Design Engineer,1959-03-11,M,M,2008-01-24,True,6,23,True,e39056f1-9cd5-478d-8945-14aca7fbdcdd,2014-06-30,/1/1/3/
7,7,134969118,adventure-works\dylan0,Research and Development Manager,1987-02-24,M,M,2009-02-08,True,61,50,True,4f46deca-ef01-41fd-9829-0adab368e431,2014-06-30,/1/1/4/
8,8,811994146,adventure-works\diane1,Research and Development Engineer,1986-06-05,S,F,2008-12-29,True,62,51,True,31112635-663b-4018-b4a2-a685c0bf48a4,2014-06-30,/1/1/4/1/
9,9,658797903,adventure-works\gigi0,Research and Development Engineer,1979-01-21,M,F,2009-01-16,True,63,51,True,50b6cdc6-7570-47ef-9570-48a64b5f2ecf,2014-06-30,/1/1/4/2/
10,10,879342154,adventure-works\michael6,Research and Development Manager,1984-11-30,M,M,2009-05-03,True,16,64,True,eaa43680-5571-40cb-ab1a-3bf68f04459e,2014-06-30,/1/1/4/3/
