businessentityid,jobtitle,vacationhours,firstname,lastname,rn
245,Accountant,58,Barbara,Moreland,1
248,Accountant,59,Mike,Seamans,2
241,Accounts Manager,57,David,Liu,1
246,Accounts Payable Specialist,63,Dragan,Tomic,1
247,Accounts Payable Specialist,64,Janet,Sheperdigian,2
242,Accounts Receivable Specialist,60,Deborah,Poe,1
243,Accounts Receivable Specialist,61,Candy,Spoon,2
244,Accounts Receivable Specialist,62,Bryan,Walton,3
272,Application Specialist,71,Janaina,Bueno,1
269,Application Specialist,72,Dan,Bacon,2
