businessentityid,firstname,lastname,salesytd,newdate
276,Linda,Mitchell,4251368.5497,2026-04-28
289,Jae,Pak,4116871.2277,2026-04-28
275,Michael,Blythe,3763178.1787,2026-04-28
277,Jillian,Carson,3189418.3662,2026-04-28
290,Ranjit,Varkey Chudukatil,3121616.3202,2026-04-28
282,José,Saraiva,2604540.7172,2026-04-28
281,Shu,Ito,2458535.6169,2026-04-28
279,Tsvi,Reiter,2315185.6110,2026-04-28
288,Rachel,Valdez,1827066.7118,2026-04-28
284,Tete,Mensa-Annan,1576562.1966,2026-04-28
283,David,Campbell,1573012.9383,2026-04-28
278,Garrett,Vargas,1453719.4653,2026-04-28
286,Lynn,Tsoflias,1421810.9242,2026-04-28
280,Pamela,Ansman-Wolfe,1352577.1325,2026-04-28
274,Stephen,Jiang,559697.5639,2026-04-28
287,Amy,Alberts,519905.9320,2026-04-28
285,Syed,Abbas,172524.4512,2026-04-28
