name,businessentityid,hiredate,lastname,rate,rn
Document Control,217,2009-01-04,Arifin,17.7885,1
Document Control,218,2008-12-16,Kharatishvili,16.8269,1
Document Control,219,2009-01-22,Chai,10.2500,1
Document Control,220,2009-02-09,Berge,10.2500,1
Document Control,221,2009-03-06,Norred,16.8269,1
Information Services,263,2008-12-11,Trenary,50.4808,1
Information Services,264,2009-02-04,Conroy,39.6635,1
Information Services,265,2008-12-04,Sharma,32.4519,1
Information Services,266,2009-02-23,Connelly,32.4519,1
Information Services,267,2009-02-16,Berg,27.4038,1
Information Services,268,2009-02-03,Meyyappan,27.4038,1
Information Services,269,2009-01-11,Bacon,27.4038,1
Information Services,270,2009-01-17,Ajenstat,38.4615,1
Information Services,271,2009-01-22,Wilson,38.4615,1
Information Services,272,2008-12-23,Bueno,27.4038,1
