businessentityid,firstname,lastname,jobtitle,vacationhours,rn
245,Barbara,Moreland,Accountant,58,1
248,Mike,Seamans,Accountant,59,2
241,David,Liu,Accounts Manager,57,1
246,Dragan,Tomic,Accounts Payable Specialist,63,1
247,Janet,Sheperdigian,Accounts Payable Specialist,64,2
242,Deborah,Poe,Accounts Receivable Specialist,60,1
243,Candy,Spoon,Accounts Receivable Specialist,61,2
244,Bryan,Walton,Accounts Receivable Specialist,62,3
272,Janaina,Bueno,Application Specialist,71,1
269,Dan,Bacon,Application Specialist,72,2
268,Ramesh,Meyyappan,Application Specialist,73,3
267,Karen,Berg,Application Specialist,74,4
262,David,Barber,Assistant to the Chief Financial Officer,56,1
239,Mindy,Martin,Benefits Specialist,51,1
255,Gordon,Hee,Buyer,52,1
258,Erin,Hagens,Buyer,53,2
257,Eric,Kurjan,Buyer,54,3
259,Ben,Miller,Buyer,55,4
253,Linda,Meisner,Buyer,56,5
254,Fukiko,Ogisu,Buyer,57,6
256,Frank,Pellow,Buyer,58,7
251,Mikael,Sandberg,Buyer,59,8
252,Arvind,Rao,Buyer,60,9
1,Ken,Sánchez,Chief Executive Officer,99,1
234,Laura,Norman,Chief Financial Officer,0,1
221,Chris,Norred,Control Specialist,75,1
218,Tengiz,Kharatishvili,Control Specialist,76,2
271,Dan,Wilson,Database Administrator,66,1
270,François,Ajenstat,Database Administrator,67,2
15,Sharon,Salavaria,Design Engineer,4,1
5,Gail,Erickson,Design Engineer,5,2
6,Jossef,Goldberg,Design Engineer,6,3
219,Sean,Chai,Document Control Assistant,78,1
220,Karen,Berge,Document Control Assistant,79,2
217,Zainal,Arifin,Document Control Manager,77,1
3,Roberto,Tamburello,Engineering Manager,2,1
287,Amy,Alberts,European Sales Manager,21,1
233,Magnus,Hedlund,Facilities Administrative Assistant,87,1
227,Gary,Altman,Facilities Manager,86,1
249,Wendy,Kahn,Finance Manager,55,1
237,Hao,Chen,Human Resources Administrative Assistant,52,1
236,Grant,Culbertson,Human Resources Administrative Assistant,53,2
235,Paula,Barreto de Mattos,Human Resources Manager,54,1
263,Jean,Trenary,Information Services Manager,65,1
230,Stuart,Macrae,Janitor,88,1
