businessentityid,firstname,lastname,newdate,total_sales_value
274,Stephen,Jiang,2026-04-27,1235934.4451
275,Michael,Blythe,2026-04-27,10475367.0751
276,Linda,Mitchell,2026-04-27,11695019.0605
277,Jillian,Carson,2026-04-27,11342385.8968
278,Garrett,Vargas,2026-04-27,4069422.2109
279,Tsvi,Reiter,2026-04-27,8086073.6761
280,Pamela,Ansman-Wolfe,2026-04-27,3748246.1218
281,Shu,Ito,2026-04-27,7259567.8761
282,José,Saraiva,2026-04-27,6683536.6583
283,David,Campbell,2026-04-27,4207894.6025
284,Tete,Mensa-Annan,2026-04-27,2608116.3755
285,Syed,Abbas,2026-04-27,195528.7838
286,Lynn,Tsoflias,2026-04-27,1606441.4471
287,Amy,Alberts,2026-04-27,826417.4667
288,Rachel,Valdez,2026-04-27,2062393.1371
289,Jae,Pak,2026-04-27,9585124.9477
290,Ranjit,Varkey Chudukatil,2026-04-27,5087977.2120
