firstname,lastname,quartile,salesytd,postalcode
Linda,Mitchell,Q1,4251368.5497,84407
Jae,Pak,Q1,4116871.2277,BA5 3HX
Michael,Blythe,Q1,3763178.1787,48226
Jillian,Carson,Q1,3189418.3662,55802
Ranjit,Varkey Chudukatil,Q1,3121616.3202,33000
José,Saraiva,Q2,2604540.7172,K4B 1T7
Shu,Ito,Q2,2458535.6169,94109
Tsvi,Reiter,Q2,2315185.6110,38103
Rachel,Valdez,Q2,1827066.7118,14111
Tete,Mensa-Annan,Q3,1576562.1966,02139
David,Campbell,Q3,1573012.9383,98004
Garrett,Vargas,Q3,1453719.4653,T2P 2G8
Lynn,Tsoflias,Q3,1421810.9242,3000
Pamela,Ansman-Wolfe,Q4,1352577.1325,97205
Stephen,Jiang,Q4,559697.5639,98052
Amy,Alberts,Q4,519905.9320,98055
Syed,Abbas,Q4,172524.4512,98011
