department,lastname,rate,hiredate
Document Control,Chai,10.2500,2009-01-22
Document Control,Berge,10.2500,2009-02-09
Document Control,Kharatishvili,16.8269,2008-12-16
Document Control,Norred,16.8269,2009-03-06
Document Control,Arifin,17.7885,2009-01-04
Information Services,Bueno,27.4038,2008-12-23
Information Services,Berg,27.4038,2009-02-16
Information Services,Meyyappan,27.4038,2009-02-03
Information Services,Bacon,27.4038,2009-01-11
Information Services,Sharma,32.4519,2008-12-04
Information Services,Connelly,32.4519,2009-02-23
Information Services,Ajenstat,38.4615,2009-01-17
Information Services,Wilson,38.4615,2009-01-22
Information Services,Conroy,39.6635,2009-02-04
Information Services,Trenary,50.4808,2008-12-11
