department,lastname,rate,cume_dist,percent_rank
Document Control,zainal0,17.7885,1.0,1.0
Document Control,tengiz0,16.8269,0.8,0.5
Document Control,chris1,16.8269,0.8,0.5
Document Control,sean1,10.2500,0.4,0.0
Document Control,karen0,10.2500,0.4,0.0
Information Services,jean0,50.4808,1.0,1.0
Information Services,stephanie0,39.6635,0.9,0.8888888888888888
Information Services,françois0,38.4615,0.8,0.6666666666666666
Information Services,dan1,38.4615,0.8,0.6666666666666666
Information Services,ashvini0,32.4519,0.6,0.4444444444444444
Information Services,peter1,32.4519,0.6,0.4444444444444444
Information Services,janaina0,27.4038,0.4,0.0
Information Services,ramesh0,27.4038,0.4,0.0
Information Services,dan0,27.4038,0.4,0.0
Information Services,karen1,27.4038,0.4,0.0
