department,lastname,rate,cumulative_distribution,percent_rank
Document Control,zainal0,17.7885,0.2000,0.0000
Document Control,chris1,16.8269,0.6000,0.2500
Document Control,tengiz0,16.8269,0.6000,0.2500
Document Control,sean1,10.2500,1.0000,0.7500
Document Control,karen0,10.2500,1.0000,0.7500
Information Services,jean0,50.4808,0.1000,0.0000
Information Services,stephanie0,39.6635,0.2000,0.1111
Information Services,françois0,38.4615,0.4000,0.2222
Information Services,dan1,38.4615,0.4000,0.2222
Information Services,ashvini0,32.4519,0.6000,0.4444
Information Services,peter1,32.4519,0.6000,0.4444
Information Services,ramesh0,27.4038,1.0000,0.6667
Information Services,karen1,27.4038,1.0000,0.6667
Information Services,dan0,27.4038,1.0000,0.6667
Information Services,janaina0,27.4038,1.0000,0.6667
