businessentityid,firstname,lastname,jobtitle,vacationhours
245,Barbara,Moreland,Accountant,58
248,Mike,Seamans,Accountant,59
241,David,Liu,Accounts Manager,57
246,Dragan,Tomic,Accounts Payable Specialist,63
247,Janet,Sheperdigian,Accounts Payable Specialist,64
242,Deborah,Poe,Accounts Receivable Specialist,60
243,Candy,Spoon,Accounts Receivable Specialist,61
244,Bryan,Walton,Accounts Receivable Specialist,62
272,Janaina,Bueno,Application Specialist,71
269,Dan,Bacon,Application Specialist,72
268,Ramesh,Meyyappan,Application Specialist,73
267,Karen,Berg,Application Specialist,74
262,David,Barber,Assistant to the Chief Financial Officer,56
239,Mindy,Martin,Benefits Specialist,51
255,Gordon,Hee,Buyer,52
258,Erin,Hagens,Buyer,53
257,Eric,Kurjan,Buyer,54
259,Ben,Miller,Buyer,55
253,Linda,Meisner,Buyer,56
254,Fukiko,Ogisu,Buyer,57
