department,lastname,rate,hiredate,last_hire_date_in_dept_per_rate
Document Control,karen0,10.2500,2009-02-09,2009-02-09
Document Control,sean1,10.2500,2009-01-22,2009-02-09
Document Control,chris1,16.8269,2009-03-06,2009-03-06
Document Control,tengiz0,16.8269,2008-12-16,2009-03-06
Document Control,zainal0,17.7885,2009-01-04,2009-01-04
Information Services,dan0,27.4038,2009-01-11,2009-02-16
Information Services,janaina0,27.4038,2008-12-23,2009-02-16
Information Services,karen1,27.4038,2009-02-16,2009-02-16
Information Services,ramesh0,27.4038,2009-02-03,2009-02-16
Information Services,ashvini0,32.4519,2008-12-04,2009-02-23
Information Services,peter1,32.4519,2009-02-23,2009-02-23
Information Services,dan1,38.4615,2009-01-22,2009-01-22
Information Services,françois0,38.4615,2009-01-17,2009-01-22
Information Services,stephanie0,39.6635,2009-02-04,2009-02-04
Information Services,jean0,50.4808,2008-12-11,2008-12-11
