businessentityid,firstname,lastname,territoryname,sales_value,newdate
274,Stephen,Jiang,,559697.5639,2026-04-26
275,Michael,Blythe,Northeast,3763178.1787,2026-04-26
276,Linda,Mitchell,Southwest,4251368.5497,2026-04-26
277,Jillian,Carson,Central,3189418.3662,2026-04-26
278,Garrett,Vargas,Canada,1453719.4653,2026-04-26
279,Tsvi,Reiter,Southeast,2315185.6110,2026-04-26
280,Pamela,Ansman-Wolfe,Northwest,1352577.1325,2026-04-26
281,Shu,Ito,Southwest,2458535.6169,2026-04-26
282,José,Saraiva,Canada,2604540.7172,2026-04-26
283,David,Campbell,Northwest,1573012.9383,2026-04-26
284,Tete,Mensa-Annan,Northwest,1576562.1966,2026-04-26
285,Syed,Abbas,,172524.4512,2026-04-26
286,Lynn,Tsoflias,Australia,1421810.9242,2026-04-26
287,Amy,Alberts,,519905.9320,2026-04-26
288,Rachel,Valdez,Germany,1827066.7118,2026-04-26
289,Jae,Pak,United Kingdom,4116871.2277,2026-04-26
290,Ranjit,Varkey Chudukatil,France,3121616.3202,2026-04-26
