businessentityid,firstname,lastname,salesytd,saleslastyear,current_date,newdate
276,Linda,Mitchell,4251368.5497,1439156.0291,2026-04-24,2026-04-26
289,Jae,Pak,4116871.2277,1635823.3967,2026-04-24,2026-04-26
275,Michael,Blythe,3763178.1787,1750406.4785,2026-04-24,2026-04-26
277,Jillian,Carson,3189418.3662,1997186.2037,2026-04-24,2026-04-26
290,Ranjit,Varkey Chudukatil,3121616.3202,2396539.7601,2026-04-24,2026-04-26
282,José,Saraiva,2604540.7172,2038234.6549,2026-04-24,2026-04-26
281,Shu,Ito,2458535.6169,2073505.9999,2026-04-24,2026-04-26
279,Tsvi,Reiter,2315185.6110,1849640.9418,2026-04-24,2026-04-26
288,Rachel,Valdez,1827066.7118,1307949.7917,2026-04-24,2026-04-26
284,Tete,Mensa-Annan,1576562.1966,0.0000,2026-04-24,2026-04-26
283,David,Campbell,1573012.9383,1371635.3158,2026-04-24,2026-04-26
278,Garrett,Vargas,1453719.4653,1620276.8966,2026-04-24,2026-04-26
286,Lynn,Tsoflias,1421810.9242,2278548.9776,2026-04-24,2026-04-26
280,Pamela,Ansman-Wolfe,1352577.1325,1927059.1780,2026-04-24,2026-04-26
274,Stephen,Jiang,559697.5639,0.0000,2026-04-24,2026-04-26
287,Amy,Alberts,519905.9320,0.0000,2026-04-24,2026-04-26
285,Syed,Abbas,172524.4512,0.0000,2026-04-24,2026-04-26
